date_time,city_area,state,country,ufo_shape,encounter_length,described_encounter_length,description,date_documented,latitude,longitude,month,day,year,time
5/21/1992 20:34,melbourne (vic&#44 australia),,au,other/unspecified,720,12 min,It was fork shaped with 3 points. the tips were blue. three lights ran down each point. first red. then green&#44 then blue. as soon as we,1/28/1999,-37.813938,144.963425,5,21,1992,20:34
5/21/1998 10:30,penticton (canada),bc,ca,light,30,30 seconds+,saw 3 lights blink on in sky. Two shot away and dimmed out&#44 third shot across horison.,12/2/2000,49.5,-119.583333,5,21,1998,10:30
5/21/2000 4:50,glasgow (uk/scotland),,gb,cylinder,180,3 minutes,2 craft - fast moving - strange design - unconventional motion - red light pulse mobilising the craft - would raf allow new jets in urb,8/5/2000,55.833333,-4.25,5,21,2000,4:50
5/21/2001 20:00,kuala lumpur (malaysia),,my,round,7200,2hrs,I was in a bedroom when my sister called me and ask me to watch out over a weird object in the sky . Then i go to see it at my verandah,8/5/2001,3.139003,101.686855,5,21,2001,20:00
5/21/2001 22:00,budapest (hungary),,hu,light,60,max 1 minute,small star became very bright light. Faded back to star and moved away.,8/5/2001,47.497912,19.040235,5,21,2001,22:00
5/21/2002 23:50,maxville (canada),on,ca,other/unspecified,5,5 seconds,Lighted object over Maxville ON CA 23:50 21 May 02.,6/12/2002,45.283333,-74.85,5,21,2002,23:50
5/21/2003 2:00,stony plain (canada),ab,ca,light,15,10-15 seconds,Bright pulsating light&#44 moving quickly and erratically.,5/27/2003,53.533333,-114,5,21,2003,2:00
5/21/2003 19:45,brisbane (qld&#44 australia),,au,flare,5,05 seconds,Myself and one other person witnessed a LARGE fireball with a bright incandescant core and a long flaming tail pass overhead in a NNE h,5/27/2003,-27.47101,153.024292,5,21,2003,19:45
5/21/2003 23:30,hamilton (canada),on,ca,round,2100,35 minutes,Three different sightings of dim&#44 orange lights arranged in various shapes passing soundlessly over my house.,10/31/2003,43.25,-79.833333,5,21,2003,23:30
5/21/2005 22:00,son en breugel (netherlands),,nl,flare,300,5 minutes,a black shaped object with a red light&#44 like fire&#44 advancing it&#44 it flew over soundless&#44 from the south to the north.,5/24/2005,51.524896,5.461625,5,21,2005,22:00
5/21/2006 13:00,keene (canada),on,ca,round,900,10 to 15 minutes,Round white disk flying at low altitude followed by heavy downpour and boat sinking,10/30/2006,44.25,-78.166667,5,21,2006,13:00
5/21/2006 16:00,central coast (australia),,au,light,2,few seconds,the shooting UFO,10/31/2008,-33.42979,151.371445,5,21,2006,16:00
5/21/2006 16:00,easter island (chile),,cl,disk,1,1 second,Flying object over Easter Island viewed from tongariki beach,7/16/2006,-27.121192,-109.366424,5,21,2006,16:00
5/21/2006 21:47,lansdowne house (canada),on,ca,round,120,2 minutes,UFO sighted in a smale Northwestern Ontario&#44 Canada Community.,7/16/2006,52.216667,-87.883333,5,21,2006,21:47
5/21/2006 23:10,regina (canada),sk,ca,other/unspecified,20,20 sec.,Orange coulored objects flying in hourglass formation,7/16/2006,50.45,-104.616667,5,21,2006,23:10
5/21/2007 21:00,toronto (canada),on,ca,round,60,1 minute,very fast moving flashing lights,6/12/2007,43.666667,-79.416667,5,21,2007,21:00
5/22/2007,oxford (uk/england),,gb,cylinder,900,15 mins,cigar rotating from end toend the size of 2jumboes,6/12/2007,51.75,-1.25,5,22,2007,0:00
5/21/2009 23:03,kaunas (lithuania),,lt,disk,15,10-15sec,Disk shapped grey&amp;black object with red lamps making huge noise like its crashing. 500 Lights On Object0: Yes,6/9/2009,54.898521,23.903597,5,21,2009,23:03
5/21/2011 1:27,halifax (canada),ns,ca,triangle,2400,20-40 minutes,The lights flew acrossed the sky faster then any shooting star/meteor shower i have ever seen&#44 moved back and forth acrossed the sky.,5/29/2011,44.65,-63.6,5,21,2011,1:27
5/21/2011 1:30,toronto (canada),on,ca,round,900,15 minutes,Saw 4 lights in a circular pattern&#44 two changed colours several times,5/29/2011,43.666667,-79.416667,5,21,2011,1:30
5/21/2011 18:00,lule&aring; (sweden),,se,triangle,300,5 minutes,Triangular shaped formation of bright yellow dots over Lule&aring;&#44 Sweden,5/29/2011,65.584819,22.156703,5,21,2011,18:00
5/21/2011 20:00,toronto (canada),on,ca,triangle,60,1 minute,((HOAX))  triangle 8 yellow lights over Toronto&#44 Ontario&#44 Canada.,11/19/2012,43.666667,-79.416667,5,21,2011,20:00
5/21/2011 22:00,espoo (finland),,fi,triangle,10,10 seconds,((HOAX??))  triangle with eight lights,5/29/2011,60.205491,24.6559,5,21,2011,22:00
5/21/2011 22:30,lanigan (canada),sk,ca,light,60,under 1 minute,moving stars that disapear not a falling star.,5/29/2011,51.85,-105.033333,5,21,2011,22:30
5/21/2012 21:00,hamilton (canada),on,ca,round,1800,30 minutes,Object moving fast&#44 different directions with redish craft moving towars it,5/29/2012,43.25,-79.833333,5,21,2012,21:00
5/2/1994 22:00,glassville (canada),nb,ca,diamond,300,5 minutes,My Dad and I were driving down the street when I looked up and saw it&#44 it was huge&#44 it had a triagular top and bottom with revolving li,4/2/1999,46.483333,-67.416667,5,2,1994,22:00
5/2/2001 0:02,vancouver (canada),bc,ca,light,30,30 seconds,3 lights travelling very fast with the 2 on the side keeping very haphazzard courses,7/26/2002,49.25,-123.133333,5,2,2001,0:02
5/2/2002 2:00,santiago (chile),,cl,light,2400,40 minutos,luces de variados colores en continuos cambios parpadeantes,7/26/2002,-33.46912,-70.641997,5,2,2002,2:00
5/2/2002 23:00,melbourne (vic&#44 australia),,au,round,300,5 minutes,Three orange spheres in trangular formation came and went.,5/14/2002,-37.813938,144.963425,5,2,2002,23:00
5/2/2003 6:35,sale (australia),,au,light,6,6seconds,I witnessed 2 objects 5 minutes apart moving at a 45 degree incline then do a right angle turn into another 45 degree incline&#44 the inte,7/16/2003,-38.11095,147.068024,5,2,2003,6:35
5/2/2005 1:00,london (uk/england),,gb,other/unspecified,60,1 min,3 bright red dancing lights,5/11/2005,51.514125,-0.093689,5,2,2005,1:00
5/2/2005 1:00,waiparous (west of calgary) (canada),ab,ca,light,1800,30 mins,The speed and color was amazing to see.,5/11/2005,51.282376,-114.841158,5,2,2005,1:00
5/2/2006 5:12,abbotsford (canada),bc,ca,disk,600,10 minutes,Slow moving &quot;Saturn&quot; like saucer witnessed over Mission&#44 BC from Central/Western Abbotsford,5/15/2006,45.433333,-72.883333,5,2,2006,5:12
5/2/2007 4:00,marouga (trinidad/tobago),,tt,other/unspecified,120,2 min,I saw about 5 - 6 lights in a circle small but very bright moving a little slow over a agricultural area in my country close to the for,6/12/2007,38.075866,23.986755,5,2,2007,4:00
